t(s),Q'''(W/m^3)
3.988964109960527,120479331.16490735
3.994118787355627,120854332.64451317
3.9992672045683517,121229730.14195707
4.004409384874982,121605523.87245204
4.009545351408576,121981714.05420505
4.014675127160197,122358300.88645554
4.01979873498013,122735284.59329206
4.024916197579088,123112665.3907675
4.030027537529399,123490443.49784026
4.035132777266182,123868619.11430745
4.040231939088513,124247192.47587542
4.045325045160576,124626163.78801672
4.050412117512802,125005533.27003834
4.055493178042995,125385301.14405726
4.0605682485174475,125765467.62389778
4.0656373505720405,126146032.92612521
4.070700505713337,126526997.27003813
4.075757735319661,126908360.87765993
4.080809060642157,127290123.95143765
4.08585450280586,127672286.72990237
4.0908940828107285,128054849.43199298
4.0959278215326815,128437812.25691849
4.100955739724623,128821175.45121218
4.105977858017451,129204939.2192909
4.1109941969210615,129589103.77931088
4.116004776825336,129973669.35198765
4.121009618001124,130358636.17183879
4.126008740601212,130744004.45345175
4.131002164661285,131129774.41389953
4.135989910100872,131515946.28402244
4.140971996724292,131902520.28588194
4.1459484442215775,132289496.6213747
4.1509192721694,132676875.54006113
4.15588450003198,133064657.24869433
4.160844147161987,133452841.97907387
4.165798232801433,133841429.9540702
4.170746776082556,134230421.39893243
4.175689796028694,134619816.52989057
4.180627311555149,135009615.57689258
4.185559341470045,135399818.772245
4.1904859044751746,135790426.32774827
4.19540701916684,136181438.48033026
4.20032270403668,136572855.44634917
4.205232977472497,136964677.4558616
4.210137857759066,137356904.74119964
4.215037363078944,137749537.5254726
4.219931511513267,138142576.03400242
4.224820321042538,138536020.49431765
4.229703809547409,138929871.12461728
4.234581994809459,139324128.16832936
4.239454894511955,139718791.85956544
4.244322526240612,140113862.39991736
4.2491849074843495,140509340.03932273
4.2540420556360266,140905225.00675485
4.258893987993185,141301517.5216972
4.263740721758775,141698217.81730944
4.26858227404188,142095326.117225
4.27341866185843,142492842.67040926
4.2782499021319085,142890767.69300577
4.283076011694056,143289101.41481212
4.287897007285562,143687844.07933623
4.292712905556754,144086995.9087782
4.29752372306828,144486557.12730893
4.302329476291779,144886527.98449743
4.3071301816105505,145286908.69678572
4.311925855320218,145687699.5060034
4.3167165136293795,146088900.64422578
4.32150217266026,146490512.34547272
4.326282848449354,146892534.83392546
4.331058556948061,147294968.34744072
4.335829314023312,147697813.12580422
4.3405951354582015,148101069.41072565
4.345356036952601,148504737.4103538
4.350112034123772,148908817.38196054
4.354863142506972,149313309.56107333
4.359609377556062,149718214.17321187
4.36435075464409,150123531.4456978
4.369087289063894,150529261.6314249
4.373818996028676,150935404.97327685
4.378545890672588,151341961.68023828
4.3832679880512995,151748932.01067534
4.38798530314257,152156316.2009576
4.392697850846812,152564114.47728026
4.397405645987644,152972327.0795197
4.402108703312448,153380954.2493168
4.406807037492916,153789996.23007283
4.411500663125589,154199453.25494838
4.416189594732399,154609325.55880713
4.420873846761196,155019613.39023182
4.425553433586281,155430316.97548306
4.430228369508928,155841436.5665521
4.434898668757897,156252972.4051075
4.439564345489951,156664924.72243142
4.444225413790368,157077293.7514354
4.448881887673436,157490079.7508402
4.453533781082963,157903282.95687538
4.458181107892763,158316903.60738763
4.462823881907151,158730941.9418366
4.467462116861429,159145398.20129088
4.472095826422366,159560272.64057514
4.476725024188675,159975565.49183622
4.481349723691491,160391276.98877022
4.485969938394834,160807407.39099267
4.490585681696074,161223956.93535808
4.495196966926398,161640925.87246916
4.499803807351259,162058314.4300654
4.504406216170832,162476122.87407133
4.509004206520463,162894351.4230491
4.5135977914711125,163313000.3460193
4.5181869840297955,163732069.86453858
4.522771797140019,164151560.25070852
4.527352243682216,164571471.72906557
4.531928336474173,164991804.55016878
4.536500088271454,165412558.96608138
4.541067511767828,165833735.2180395
4.54563061959568,166255333.5487294
4.550189424326429,166677354.21463495
4.5547439384709385,167099797.46136716
4.559294174479925,167522663.53597668
4.563840144744359,167945952.6745645
4.568381861595865,168369665.13941267
4.572919337307124,168793801.16946086
4.57745258409226,169218361.02986956
4.5819816141072325,169643344.9499713
4.586506439450225,170068753.18531275
4.591027072162026,170494585.98040092
4.595543524226411,170920843.60604274
4.600055807570518,171347526.284587
4.604563934065222,171774634.27711937
4.609067915525506,172202167.84612826
4.613567763710825,172630127.2304755
4.618063490325477,173058512.68285123
4.622555107018958,173487324.4447569
4.6270426253863235,173916562.7966333
4.631526056968542,174346227.9575602
4.636005413252849,174776320.19809785
4.640480705673095,175206839.76502356
4.644951945610092,175637786.90640017
4.649419144391959,176069161.89678174
