TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
44.380	40.15	544.89	0.034	0.021	21.723	19.548	83.33	1903.94	30.46	-916.25	14.78	10.54	-2.08	-0.03	31.76	76.29	86.64	86.51	27.55	0.111	0.131
44.400	40.16	543.76	0.031	0.021	21.723	19.596	83.28	1845.79	21.29	-910.26	23.65	12.52	-2.03	-0.02	31.75	76.27	86.59	86.43	27.66	0.109	0.128
44.420	40.15	542.51	0.032	0.022	21.716	19.637	83.28	1800.75	21.64	-889.41	20.87	20.44	-2.02	-0.02	31.77	76.29	86.42	86.34	27.56	0.106	0.126
44.440	40.15	541.57	0.034	0.021	21.715	19.668	83.28	1812.20	31.29	-875.39	13.66	26.78	-2.07	-0.04	31.76	76.24	86.22	86.22	27.54	0.104	0.124
44.460	40.13	540.91	0.035	0.025	21.713	19.685	83.23	1869.20	37.63	-888.55	7.23	23.94	-2.10	-0.04	31.77	76.15	86.17	86.13	27.55	0.103	0.123
44.480	40.12	540.17	0.029	0.021	21.715	19.708	83.28	1906.65	36.58	-911.88	8.98	13.81	-2.09	-0.04	31.79	76.09	86.27	86.16	27.53	0.102	0.122
44.500	40.11	539.27	0.034	0.017	21.719	19.734	83.13	1873.17	29.07	-918.93	20.01	9.70	-2.04	-0.03	31.79	76.02	86.31	86.16	27.55	0.101	0.121
44.520	40.10	538.25	0.029	0.022	21.722	19.764	83.23	1812.36	24.54	-902.80	23.81	15.10	-2.01	-0.03	31.79	76.01	86.16	86.11	27.55	0.099	0.119
44.540	40.09	537.20	0.037	0.021	21.725	19.798	83.13	1791.20	27.78	-882.34	17.51	23.81	-2.03	-0.03	31.79	75.95	85.99	86.03	27.56	0.097	0.117
44.560	40.08	536.50	0.038	0.021	21.725	19.820	83.23	1825.68	36.14	-879.19	10.39	26.70	-2.08	-0.04	31.77	75.86	85.85	85.92	27.55	0.096	0.116
44.580	40.07	535.91	0.035	0.022	21.724	19.837	83.18	1888.15	39.84	-899.95	6.00	19.77	-2.10	-0.04	31.79	75.77	85.83	85.91	27.56	0.095	0.115
44.600	40.06	535.09	0.034	0.027	21.722	19.863	83.18	1899.49	36.51	-921.35	13.26	10.51	-2.06	-0.04	31.80	75.74	85.83	85.88	27.87	0.094	0.113
44.620	40.07	534.08	0.035	0.024	21.714	19.905	83.13	1844.71	26.74	-914.56	22.08	11.04	-2.02	-0.03	31.82	75.67	85.77	85.71	27.54	0.091	0.111
44.640	40.10	532.91	0.032	0.021	21.717	19.963	83.08	1792.25	25.77	-892.00	20.28	18.61	-2.01	-0.03	31.79	75.61	85.60	85.46	27.55	0.088	0.108
44.660	40.10	531.93	0.035	0.024	21.718	20.002	83.08	1787.76	35.29	-876.36	15.13	25.23	-2.04	-0.04	31.79	75.58	85.46	85.24	27.53	0.086	0.106
44.680	40.08	531.23	0.032	0.021	21.715	20.019	83.03	1837.01	41.00	-883.84	8.27	25.42	-2.08	-0.05	31.77	75.55	85.38	85.13	27.55	0.085	0.105
44.700	40.10	530.60	0.035	0.021	21.715	20.049	83.03	1883.50	37.10	-913.23	8.38	14.97	-2.06	-0.04	31.79	75.52	85.32	85.18	27.54	0.083	0.103
44.720	40.13	529.63	0.034	0.024	21.718	20.103	83.08	1870.12	34.39	-923.84	17.58	9.56	-2.02	-0.04	31.78	75.50	85.34	85.15	27.54	0.080	0.100
44.740	40.14	528.49	0.035	0.021	21.719	20.153	83.03	1804.80	32.14	-905.04	23.01	12.02	-1.99	-0.04	31.77	75.47	85.24	84.99	27.54	0.078	0.097
44.760	40.13	527.36	0.035	0.021	21.719	20.191	82.98	1770.83	33.95	-884.21	19.29	20.52	-2.00	-0.04	31.77	75.46	85.03	84.87	27.53	0.076	0.095
44.780	40.14	526.50	0.032	0.021	21.727	20.229	82.92	1790.15	38.06	-872.72	11.39	26.11	-2.05	-0.04	31.78	75.39	84.84	84.72	27.50	0.074	0.093
44.800	40.14	525.84	0.035	0.024	21.725	20.252	82.98	1847.01	42.35	-890.09	5.89	21.85	-2.08	-0.05	31.76	75.28	84.72	84.68	27.55	0.073	0.092
44.820	40.11	525.06	0.032	0.021	21.727	20.270	82.92	1882.69	43.36	-917.71	10.04	12.53	-2.05	-0.05	31.74	75.18	84.69	84.76	27.57	0.072	0.091
44.840	40.09	524.20	0.031	0.021	21.727	20.289	82.92	1844.17	38.52	-916.82	19.53	9.40	-2.01	-0.04	31.76	74.97	84.69	84.62	27.56	0.071	0.090
44.860	40.08	522.95	0.037	0.025	21.717	20.336	82.87	1783.17	35.39	-902.11	23.84	15.36	-1.98	-0.04	31.76	74.81	84.59	84.42	27.56	0.068	0.087
44.880	40.07	521.90	0.035	0.021	21.717	20.372	82.82	1756.05	37.96	-880.97	17.30	22.76	-1.99	-0.04	31.76	74.66	84.42	84.27	27.55	0.066	0.085
44.900	40.06	521.04	0.035	0.022	21.720	20.398	82.87	1777.24	44.12	-876.64	9.23	25.84	-2.03	-0.05	31.76	74.53	84.24	84.11	27.55	0.065	0.084
44.920	40.05	520.45	0.034	0.021	21.727	20.414	82.87	1824.44	50.56	-901.62	6.38	18.89	-2.02	-0.06	31.77	74.41	84.13	84.11	27.58	0.064	0.083
44.940	40.03	519.71	0.034	0.024	21.729	20.436	82.82	1836.41	46.52	-922.82	11.59	10.20	-1.99	-0.05	31.77	74.32	84.07	84.07	27.56	0.063	0.082
44.960	40.01	518.77	0.037	0.021	21.721	20.464	82.82	1779.43	39.53	-919.66	21.61	8.39	-1.93	-0.04	31.78	74.28	83.93	83.93	27.57	0.061	0.081
44.980	40.00	517.68	0.037	0.022	21.720	20.500	82.87	1714.01	37.05	-895.27	20.89	15.90	-1.91	-0.04	31.77	74.22	83.75	83.79	27.55	0.060	0.079
45.000	39.98	516.94	0.035	0.022	21.728	20.519	82.77	1683.13	45.09	-874.99	15.03	22.33	-1.92	-0.05	31.79	74.07	83.49	83.66	27.59	0.059	0.078
45.020	39.98	516.39	0.035	0.021	21.731	20.539	82.67	1702.83	50.62	-881.96	9.92	23.24	-1.93	-0.06	31.78	73.95	83.32	83.54	27.58	0.058	0.077
45.040	39.98	516.04	0.035	0.024	21.722	20.553	82.72	1751.93	47.98	-907.88	6.87	16.24	-1.93	-0.05	31.79	73.81	83.24	83.54	27.57	0.057	0.076
45.060	39.98	515.53	0.038	0.025	21.721	20.578	82.67	1752.58	45.32	-925.46	13.71	7.94	-1.89	-0.05	31.80	73.69	83.21	83.52	27.57	0.056	0.075
